"genotype" "location" "treatment" "timepoint" "condition" "samptype" "bleach" "propd" "origin"
"X82_87_300_c_20h" "87" "300" "c" 20 "c_300_20h" "c_20h" 1 0.980392157 "HV"
"X23_86_300_h_5h" "87" "300" "h" 5 "h_300_5h" "h_5h" 3 0.887323944 "HV"
"X43_87_300_h_5h" "87" "300" "h" 5 "h_300_5h" "h_5h" 5 0.972222222 "HV"
"X152_86_300_h_20h" "87" "300" "h" 20 "h_300_20h" "h_20h" 3 0.979070955 "HV"
"X94_87_300_h_20h" "87" "300" "h" 20 "h_300_20h" "h_20h" 5 0.973568282 "HV"
"X10_87_400_c_5h" "87" "400" "c" 5 "c_400_5h" "c_5h" 1 0.98053528 "HV"
"X17_86_400_c_5h" "87" "400" "c" 5 "c_400_5h" "c_5h" 1 0.984042553 "HV"
"X139_86_400_c_20h" "87" "400" "c" 20 "c_400_20h" "c_20h" 1 0.978533095 "HV"
"X81_87_400_c_20h" "87" "400" "c" 20 "c_400_20h" "c_20h" 1 0.975789019 "HV"
"X22_86_400_h_5h" "87" "400" "h" 5 "h_400_5h" "h_5h" 3 0.982989064 "HV"
"X42_87_400_h_5h" "87" "400" "h" 5 "h_400_5h" "h_5h" 5 0.979020979 "HV"
"X151_86_400_h_20h" "87" "400" "h" 20 "h_400_20h" "h_20h" 3 0.983018868 "HV"
"X93_87_400_h_20h" "87" "400" "h" 20 "h_400_20h" "h_20h" 5 0.970108696 "HV"
"X62_88_300_c_5h" "88" "300" "c" 5 "c_300_5h" "c_5h" 1 0.982318271 "HV"
"X114_88_300_c_20h" "88" "300" "c" 20 "c_300_20h" "c_20h" 1 0.962962963 "HV"
"X76_88_300_h_5h" "88" "300" "h" 5 "h_300_5h" "h_5h" 2 0.986687966 "HV"
"X128_88_300_h_20h" "88" "300" "h" 20 "h_300_20h" "h_20h" 2 0.981391586 "HV"
"X32_11_400_c_5h" "88" "400" "c" 5 "c_400_5h" "c_5h" 1 0.982786885 "HV"
"X61_88_400_c_5h" "88" "400" "c" 5 "c_400_5h" "c_5h" 1 0.990449438 "HV"
"X113_88_400_c_20h" "88" "400" "c" 20 "c_400_20h" "c_20h" 1 0.98255814 "HV"
"X85_11_400_c_20h" "88" "400" "c" 20 "c_400_20h" "c_20h" 1 0.981542248 "HV"
"X45_11_400_h_5h" "88" "400" "h" 5 "h_400_5h" "h_5h" 2 0.968379447 "HV"
"X75_88_400_h_5h" "88" "400" "h" 5 "h_400_5h" "h_5h" 4 0.985112718 "HV"
"X127_88_400_h_20h" "88" "400" "h" 20 "h_400_20h" "h_20h" 2 0.979623824 "HV"
"X97_11_400_h_20h" "88" "400" "h" 20 "h_400_20h" "h_20h" 4 0.979591837 "HV"
"X50_89_300_c_5h" "89" "300" "c" 5 "c_300_5h" "c_5h" 1 0.976190476 "MV"
"X102_89_300_c_20h" "89" "300" "c" 20 "c_300_20h" "c_20h" 1 0.981896141 "MV"
"X64_89_300_h_5h" "89" "300" "h" 5 "h_300_5h" "h_5h" 1 0.975542224 "MV"
"X116_89_300_h_20h" "89" "300" "h" 20 "h_300_20h" "h_20h" 1 0.961643836 "MV"
"X49_89_400_c_5h" "89" "400" "c" 5 "c_400_5h" "c_5h" 1 0.983640082 "MV"
"X101_89_400_c_20h" "89" "400" "c" 20 "c_400_20h" "c_20h" 1 0.979686386 "MV"
"X63_89_400_h_5h" "89" "400" "h" 5 "h_400_5h" "h_5h" 2 0.983676976 "MV"
"X115_89_400_h_20h" "89" "400" "h" 20 "h_400_20h" "h_20h" 2 0.979639781 "MV"
